customer_id,age,gender,country,state,city,occupation,annual_income,credit_score,customer_since,account_type,risk_level,total_accounts,avg_monthly_balance,loan_status
C000001,58,Male,India,Maharashtra,Bengaluru,Teacher,885264,404,2022-08-03,Premium,Medium,1,314588,Active
C000002,20,Male,India,Karnataka,Bengaluru,Analyst,2825049,327,2021-04-17,Savings,Medium,5,224949,None
C000003,46,Other,UK,Tamil Nadu,London,Developer,969659,732,2018-10-25,Current,Low,3,58587,None
C000004,42,Male,UK,Maharashtra,Hyderabad,Doctor,482244,770,2021-01-05,Savings,High,4,46313,Closed
C000005,36,Other,Canada,Maharashtra,Hyderabad,Teacher,591735,346,2022-06-01,Savings,Medium,1,453432,None
C000006,24,Female,UK,California,San Francisco,Developer,1830217,466,2019-02-25,Current,Low,3,372955,Closed
C000007,59,Male,Canada,Karnataka,Hyderabad,Manager,1326811,467,2020-03-08,Current,Low,5,120141,Closed
C000008,38,Male,USA,Tamil Nadu,London,Doctor,1982607,574,2015-09-29,Savings,High,5,464469,Closed
C000009,38,Male,Germany,California,San Francisco,Student,899246,571,2016-07-25,Savings,Medium,5,142752,Closed
C000010,55,Female,Canada,California,Mumbai,Teacher,880205,821,2020-07-14,Savings,Medium,1,85132,Closed
C000011,28,Other,Germany,Texas,Chennai,Student,1900627,779,2020-12-07,Current,High,1,361664,Closed
C000012,25,Other,Canada,Maharashtra,London,Manager,1726799,414,2018-04-17,Current,Low,1,383584,Closed
C000013,34,Other,USA,Texas,Chennai,Developer,2922699,605,2024-06-09,Premium,Low,2,85131,Active
C000014,66,Male,Canada,Texas,Chennai,Analyst,1659609,800,2015-03-21,Savings,High,3,130541,None
C000015,33,Other,India,Tamil Nadu,San Francisco,Student,590298,845,2023-08-03,Savings,Low,4,293255,None
C000016,34,Other,Canada,California,Bengaluru,Analyst,1143688,619,2019-06-23,Premium,Low,4,476656,Closed
C000017,46,Male,USA,Karnataka,Chennai,Doctor,388224,867,2017-07-31,Premium,Low,1,376112,Closed
C000018,21,Male,India,Tamil Nadu,London,Doctor,597197,826,2017-09-01,Current,Low,2,287713,None
C000019,64,Other,Canada,California,Bengaluru,Developer,2283792,716,2017-02-18,Savings,Low,4,190753,Active
C000020,44,Female,India,Tamil Nadu,Chennai,Student,1723138,411,2017-10-15,Savings,Low,4,78495,Active
C000021,29,Female,Germany,Karnataka,London,Engineer,2158625,863,2016-02-06,Savings,Low,5,443319,None
C000022,23,Male,USA,California,Delhi,Student,1196521,710,2025-02-13,Savings,Low,1,209693,Active
C000023,68,Female,UK,California,San Francisco,Manager,2631061,798,2016-09-26,Savings,Low,1,308657,Closed
C000024,52,Male,UK,Tamil Nadu,Chennai,Analyst,2299795,814,2025-04-23,Premium,Low,5,47001,None
C000025,22,Other,India,Karnataka,Delhi,Engineer,2689391,552,2021-06-29,Premium,Low,1,224794,Closed
C000026,55,Other,Canada,Maharashtra,Mumbai,Teacher,1617782,544,2017-12-23,Current,Low,3,244717,Active
C000027,66,Male,India,California,Hyderabad,Analyst,719351,375,2021-01-11,Savings,Low,2,494296,Active
C000028,22,Male,UK,Maharashtra,Bengaluru,Student,2578421,609,2021-11-10,Premium,Low,5,161960,Closed
C000029,24,Male,UK,Tamil Nadu,Chennai,Manager,2620388,459,2018-01-20,Current,Low,3,111743,Closed
C000030,58,Female,Canada,California,Mumbai,Developer,513066,394,2022-02-11,Current,Medium,1,6858,Active
C000031,67,Male,UK,Karnataka,San Francisco,Student,2613915,737,2021-04-16,Savings,Low,2,291046,None
C000032,41,Other,Canada,Karnataka,Delhi,Teacher,475442,615,2019-02-02,Savings,Medium,2,362599,None
C000033,60,Male,UK,Texas,London,Student,2903243,458,2025-05-19,Savings,Medium,2,467115,Active
C000034,19,Male,UK,California,London,Manager,1340888,573,2016-10-14,Premium,Low,1,455150,Active
C000035,32,Male,Germany,Maharashtra,Mumbai,Developer,1254604,528,2015-04-07,Premium,Low,3,151068,None
C000036,67,Female,UK,Texas,Delhi,Manager,2549051,639,2025-07-14,Savings,Low,3,98620,Closed
C000037,34,Male,India,Texas,Delhi,Doctor,1615658,746,2021-10-19,Premium,Low,5,104656,Active
C000038,20,Other,Germany,Tamil Nadu,Hyderabad,Developer,2558431,501,2019-01-31,Current,Low,3,331712,Active
C000039,60,Male,UK,Texas,Mumbai,Manager,2012924,634,2019-07-07,Premium,Low,2,105579,Active
C000040,60,Female,USA,Texas,Hyderabad,Doctor,2003202,861,2024-05-07,Savings,Low,2,230385,Closed
C000041,56,Other,UK,California,Delhi,Student,1196328,823,2020-04-22,Premium,Low,1,153785,Closed
C000042,60,Other,Canada,Maharashtra,Chennai,Developer,1285110,617,2017-07-09,Savings,Low,1,133368,Active
C000043,57,Male,Germany,California,San Francisco,Analyst,1115520,693,2020-07-17,Current,Low,1,473010,None
C000044,67,Female,USA,Karnataka,London,Manager,2472472,775,2015-07-25,Premium,Low,1,244317,None
C000045,69,Female,Canada,Texas,Hyderabad,Doctor,2156287,816,2019-10-14,Premium,Low,2,394889,Active
C000046,46,Female,USA,Maharashtra,London,Developer,2486489,796,2022-01-11,Savings,Low,1,379103,Active
C000047,33,Female,UK,Maharashtra,Hyderabad,Engineer,880382,454,2017-08-05,Current,Low,2,38674,Active
C000048,44,Female,Canada,California,Delhi,Engineer,1167526,730,2019-05-15,Premium,High,1,454174,Closed
C000049,42,Female,India,Maharashtra,Mumbai,Developer,1935722,729,2021-01-13,Premium,Medium,5,475711,None
C000050,49,Male,UK,California,Delhi,Engineer,1930985,644,2022-07-02,Premium,Medium,2,445667,Active
C000051,26,Other,Canada,Tamil Nadu,Delhi,Analyst,2667231,327,2015-12-10,Premium,Low,4,100278,None
C000052,34,Female,UK,Karnataka,Delhi,Doctor,1715579,688,2018-02-13,Current,Low,1,251576,None
C000053,65,Other,India,Maharashtra,Bengaluru,Manager,587806,341,2023-06-17,Savings,High,2,444997,None
C000054,57,Male,USA,Karnataka,Delhi,Manager,779784,877,2025-08-18,Savings,Low,3,407075,Active
C000055,28,Other,Canada,Tamil Nadu,London,Developer,986883,618,2016-03-18,Premium,Low,3,306883,Closed
C000056,42,Female,USA,Tamil Nadu,Hyderabad,Manager,2930845,548,2016-02-22,Premium,Medium,5,427328,None
C000057,68,Other,India,Maharashtra,Hyderabad,Student,1854286,370,2020-09-03,Premium,Low,4,436138,Active
C000058,24,Female,UK,California,San Francisco,Teacher,2126565,480,2023-03-25,Premium,High,3,327915,Closed
C000059,67,Female,Germany,California,London,Manager,2785018,574,2018-08-13,Savings,Medium,1,151238,Active
C000060,33,Female,Canada,Texas,San Francisco,Student,1710949,329,2020-07-17,Current,Low,2,191030,Active
C000061,39,Female,Canada,Maharashtra,Hyderabad,Engineer,2466891,495,2015-12-17,Savings,Medium,4,296072,None
C000062,62,Female,Germany,California,London,Engineer,690294,601,2017-06-26,Current,Low,3,353106,Closed
C000063,41,Female,Canada,Texas,Mumbai,Student,2608496,638,2018-12-12,Premium,Low,3,136807,None
C000064,25,Other,USA,Maharashtra,Chennai,Manager,2547576,489,2017-02-23,Savings,Medium,3,384891,Closed
C000065,66,Other,Canada,Maharashtra,Chennai,Developer,1114188,603,2017-07-20,Current,Low,1,376205,Closed
C000066,26,Female,India,Tamil Nadu,Hyderabad,Doctor,829654,802,2016-02-25,Savings,Low,4,255984,Active
C000067,39,Male,India,Maharashtra,London,Student,778516,366,2019-06-30,Current,Low,1,84548,None
C000068,69,Other,UK,Tamil Nadu,Bengaluru,Engineer,2640727,726,2021-10-19,Premium,Medium,2,411686,Closed
C000069,42,Female,Germany,Maharashtra,London,Analyst,2098642,612,2021-05-18,Premium,Low,1,404893,None
C000070,58,Male,UK,Tamil Nadu,Bengaluru,Teacher,1029026,865,2015-11-04,Savings,Low,4,366429,Closed
C000071,48,Female,India,Karnataka,Mumbai,Manager,1485806,764,2015-10-19,Premium,Low,3,418048,Closed
C000072,55,Other,USA,California,Chennai,Analyst,1242919,452,2025-03-09,Current,Medium,1,36267,None
C000073,68,Female,Canada,Texas,Mumbai,Student,821577,779,2022-09-21,Current,Low,3,267391,Closed
C000074,49,Female,India,Texas,Chennai,Student,1651914,556,2015-04-16,Savings,Low,5,312821,None
C000075,66,Other,UK,Texas,Chennai,Developer,1034803,781,2020-10-26,Premium,Low,3,100152,Closed
C000076,45,Other,Germany,Tamil Nadu,Delhi,Doctor,2012736,641,2018-08-08,Premium,Low,2,177912,Active
C000077,62,Female,UK,California,London,Developer,2607272,337,2020-02-06,Savings,Low,3,65776,Active
C000078,50,Male,Canada,California,Delhi,Engineer,1086778,830,2019-01-21,Premium,Medium,4,403453,None
C000079,31,Female,Canada,Karnataka,Mumbai,Student,2333028,424,2015-04-29,Premium,Low,2,377130,None
C000080,37,Other,India,Texas,Delhi,Engineer,1242462,416,2020-03-05,Savings,Low,2,266292,Closed
C000081,36,Other,UK,California,London,Student,2280633,549,2020-02-14,Premium,Low,2,488324,Closed
C000082,50,Other,USA,Tamil Nadu,Mumbai,Developer,2040394,648,2025-06-23,Premium,Low,1,153289,Closed
C000083,37,Other,Canada,California,London,Teacher,2172955,851,2020-06-06,Current,Low,5,202766,Active
C000084,38,Male,USA,Texas,Delhi,Teacher,2022915,344,2018-07-27,Premium,Low,4,207416,Closed
C000085,68,Other,USA,California,Chennai,Teacher,2406761,639,2024-10-02,Savings,Medium,4,57277,Closed
C000086,47,Male,USA,California,London,Manager,947437,376,2020-04-07,Current,Low,4,345701,None
C000087,39,Other,Canada,California,Mumbai,Manager,2346600,854,2015-05-28,Premium,Low,3,124268,Closed
C000088,23,Female,India,Tamil Nadu,Delhi,Teacher,1556051,329,2015-07-08,Current,Medium,3,192938,Active
C000089,45,Male,USA,Texas,Delhi,Analyst,1055213,474,2016-12-18,Savings,Low,4,329906,Closed
C000090,33,Female,Canada,Karnataka,Bengaluru,Student,2975565,560,2020-02-26,Current,Low,4,477493,Active
C000091,61,Other,USA,Tamil Nadu,Delhi,Doctor,2764454,606,2022-03-02,Current,Low,4,448182,Active
C000092,30,Female,Germany,Tamil Nadu,Bengaluru,Student,2698817,667,2021-06-12,Current,High,3,16502,Closed
C000093,43,Female,India,Texas,London,Manager,505706,808,2024-05-04,Current,Medium,2,323276,Active
C000094,32,Other,USA,Texas,Mumbai,Manager,873693,399,2025-02-17,Premium,Low,3,418459,Active
C000095,20,Other,UK,Karnataka,Chennai,Doctor,1670359,725,2016-12-20,Savings,Low,5,464517,Active
C000096,51,Other,UK,Karnataka,Mumbai,Developer,2321016,602,2023-05-16,Current,Medium,4,44478,None
C000097,66,Male,Germany,Texas,Mumbai,Engineer,1954965,314,2017-12-19,Premium,Low,3,357755,Closed
C000098,61,Female,Canada,California,London,Manager,1858073,410,2022-07-27,Savings,Low,5,468593,Closed
C000099,38,Other,USA,Tamil Nadu,San Francisco,Developer,2247279,609,2022-04-13,Current,Low,1,24509,Active
C000100,49,Male,India,Karnataka,Hyderabad,Teacher,1930098,764,2019-02-28,Premium,High,5,224743,Closed
C000101,65,Other,USA,California,San Francisco,Engineer,2352470,717,2025-07-13,Current,Low,3,118911,Active
C000102,46,Male,UK,Tamil Nadu,San Francisco,Doctor,2583655,667,2015-09-06,Current,Low,1,449613,Active
C000103,23,Other,USA,Texas,Chennai,Engineer,1698838,549,2016-05-30,Premium,Low,5,113610,Closed
C000104,31,Male,UK,Karnataka,London,Analyst,311893,583,2024-08-17,Savings,High,5,136414,None
C000105,25,Other,India,Karnataka,Chennai,Doctor,1297957,631,2015-03-06,Savings,Low,2,393873,Active
C000106,51,Male,India,California,Delhi,Developer,1818501,825,2021-08-28,Savings,Low,2,327493,None
C000107,64,Other,Canada,Maharashtra,Delhi,Manager,430655,362,2020-05-15,Current,Low,1,262042,Closed
C000108,46,Male,India,Maharashtra,Hyderabad,Teacher,575491,429,2018-01-31,Premium,Low,5,378373,Active
C000109,42,Other,Canada,Maharashtra,Delhi,Analyst,2839344,740,2016-02-11,Premium,Low,5,382927,None
C000110,45,Female,USA,California,Mumbai,Developer,2202112,708,2019-08-31,Premium,Low,4,168852,Closed
C000111,34,Female,USA,California,Chennai,Engineer,658044,395,2019-11-04,Savings,Medium,3,430600,None
