device_id,customer_id,device_type,manufacturer,operating_system,rooted,biometric_enabled,trusted_device
D000001,C000081,Mobile,Apple,macOS,No,Yes,No
D000002,C000329,Mobile,Apple,iOS,Yes,No,No
D000003,C000184,Desktop,Samsung,Android,No,Yes,Yes
D000004,C000474,Desktop,Apple,iOS,Yes,No,No
D000005,C000081,Desktop,Apple,iOS,No,No,No
D000006,C000945,Desktop,Dell,Windows,No,No,Yes
D000007,C000996,Desktop,Dell,Windows,No,No,Yes
D000008,C000727,Desktop,Dell,Windows,Yes,No,Yes
D000009,C000584,POS,Apple,macOS,Yes,Yes,No
D000010,C000593,Desktop,Dell,Windows,No,Yes,No
D000011,C000271,Mobile,Apple,macOS,Yes,Yes,Yes
D000012,C000608,Desktop,Samsung,Android,No,Yes,No
D000013,C000590,POS,Apple,iOS,No,Yes,Yes
D000014,C000107,Mobile,Apple,iOS,No,Yes,Yes
D000015,C000118,Desktop,Apple,iOS,Yes,No,No
D000016,C000921,POS,Dell,Windows,No,Yes,No
D000017,C000380,Desktop,Apple,macOS,No,Yes,Yes
D000018,C000251,Mobile,Samsung,Android,Yes,No,No
D000019,C000869,Desktop,Apple,macOS,No,Yes,Yes
D000020,C000581,Mobile,Apple,iOS,Yes,Yes,No
D000021,C000140,Mobile,Samsung,Android,Yes,No,No
D000022,C000886,Desktop,Apple,macOS,No,Yes,No
D000023,C000644,POS,Dell,Windows,No,Yes,No
D000024,C000945,POS,Samsung,Android,Yes,Yes,No
D000025,C000566,Desktop,Dell,Windows,Yes,No,No
D000026,C000398,Mobile,Apple,macOS,Yes,Yes,Yes
D000027,C000050,Mobile,Dell,Windows,No,Yes,Yes
D000028,C000162,POS,Apple,macOS,Yes,Yes,Yes
D000029,C000318,Desktop,Apple,iOS,No,Yes,No
D000030,C000213,POS,Apple,macOS,Yes,Yes,No
D000031,C000680,Desktop,Apple,iOS,No,No,Yes
D000032,C000566,POS,Samsung,Android,No,Yes,No
D000033,C000772,POS,Apple,macOS,Yes,Yes,Yes
D000034,C000449,Desktop,Apple,macOS,Yes,No,No
D000035,C000039,Desktop,Apple,iOS,Yes,No,Yes
D000036,C000234,POS,Apple,iOS,No,Yes,Yes
D000037,C000835,POS,Apple,iOS,No,No,No
D000038,C000186,Desktop,Dell,Windows,No,Yes,Yes
D000039,C000137,POS,Apple,iOS,Yes,Yes,Yes
D000040,C000017,Mobile,Apple,iOS,No,No,Yes
D000041,C000210,Mobile,Apple,iOS,Yes,Yes,Yes
D000042,C000260,Desktop,Apple,iOS,No,No,Yes
D000043,C000687,Desktop,Samsung,Android,No,No,Yes
D000044,C000877,Desktop,Apple,macOS,Yes,No,No
D000045,C000256,POS,Dell,Windows,Yes,Yes,No
D000046,C000216,Mobile,Dell,Windows,Yes,Yes,Yes
D000047,C000836,Desktop,Dell,Windows,Yes,Yes,Yes
D000048,C000278,POS,Apple,iOS,Yes,Yes,Yes
D000049,C000470,Mobile,Dell,Windows,Yes,Yes,No
