merchant_id,merchant_name,category,city,country,years_in_business,monthly_revenue,risk_score,fraud_history,online_store
M00001,Merchant_1,Travel,Mumbai,India,6,6102009,0.5,Yes,No
M00002,Merchant_2,Healthcare,Hyderabad,Germany,17,1153034,0.17,Yes,No
M00003,Merchant_3,Healthcare,San Francisco,Canada,11,7808824,0.72,Yes,No
M00004,Merchant_4,Entertainment,London,UK,30,6709027,0.07,No,No
M00005,Merchant_5,Travel,Hyderabad,USA,19,8605716,0.78,No,Yes
M00006,Merchant_6,Healthcare,Mumbai,Canada,19,5940068,0.58,No,Yes
M00007,Merchant_7,Retail,Chennai,USA,8,1719679,0.67,No,No
M00008,Merchant_8,Electronics,London,USA,25,4069777,0.11,Yes,No
M00009,Merchant_9,Entertainment,Delhi,India,2,4302421,0.11,Yes,No
M00010,Merchant_10,Entertainment,Mumbai,Canada,21,594247,0.92,No,Yes
M00011,Merchant_11,Healthcare,Delhi,Germany,5,9726425,0.56,Yes,No
M00012,Merchant_12,Travel,Delhi,UK,8,3475454,0.74,No,Yes
M00013,Merchant_13,Retail,Hyderabad,India,21,1714070,0.2,Yes,Yes
M00014,Merchant_14,Electronics,London,Germany,19,9270104,0.86,No,Yes
M00015,Merchant_15,Healthcare,San Francisco,Canada,16,3289967,0.83,No,No
M00016,Merchant_16,Electronics,Hyderabad,Canada,28,2413134,0.8,No,No
M00017,Merchant_17,Healthcare,Delhi,India,19,1411035,0.13,No,Yes
M00018,Merchant_18,Retail,Delhi,USA,2,9168723,0.33,Yes,No
M00019,Merchant_19,Entertainment,Mumbai,Germany,23,6104652,0.07,Yes,No
M00020,Merchant_20,Retail,Hyderabad,Canada,8,8786567,0.93,No,No
M00021,Merchant_21,Food,Chennai,Canada,23,1960164,0.58,No,Yes
M00022,Merchant_22,Retail,Mumbai,Germany,9,3464020,0.33,Yes,Yes
M00023,Merchant_23,Grocery,Hyderabad,UK,30,1145698,0.24,Yes,Yes
M00024,Merchant_24,Electronics,Chennai,Germany,20,1452134,0.89,No,Yes
M00025,Merchant_25,Electronics,San Francisco,India,4,697270,0.5,Yes,No
M00026,Merchant_26,Travel,Delhi,UK,26,3921097,0.02,Yes,Yes
M00027,Merchant_27,Entertainment,London,USA,18,6465080,0.68,Yes,No
M00028,Merchant_28,Retail,Delhi,Germany,23,2201134,0.43,No,Yes
M00029,Merchant_29,Retail,Delhi,India,29,6269127,0.35,No,No
M00030,Merchant_30,Retail,Bengaluru,USA,3,9975362,0.01,No,Yes
M00031,Merchant_31,Entertainment,Chennai,USA,27,1054349,0.08,Yes,No
M00032,Merchant_32,Grocery,Mumbai,India,11,5966446,0.6,Yes,No
M00033,Merchant_33,Grocery,Hyderabad,Germany,16,2153134,0.66,Yes,No
M00034,Merchant_34,Food,Bengaluru,Germany,23,6088766,0.9,Yes,No
M00035,Merchant_35,Healthcare,Mumbai,UK,25,9351054,0.29,Yes,No
M00036,Merchant_36,Electronics,San Francisco,Canada,17,1851175,0.05,No,No
M00037,Merchant_37,Electronics,Chennai,USA,30,2400684,0.84,Yes,No
M00038,Merchant_38,Healthcare,Hyderabad,USA,4,6347667,0.72,Yes,Yes
M00039,Merchant_39,Grocery,San Francisco,Germany,21,7712879,0.95,Yes,No
M00040,Merchant_40,Entertainment,Chennai,UK,9,9969032,0.38,Yes,Yes
M00041,Merchant_41,Electronics,London,Canada,13,8410719,0.02,No,No
M00042,Merchant_42,Travel,Chennai,USA,7,6464050,0.18,No,Yes
M00043,Merchant_43,Healthcare,Mumbai,India,18,5935191,0.94,No,No
M00044,Merchant_44,Entertainment,London,Canada,7,558775,0.34,No,No
M00045,Merchant_45,Entertainment,San Francisco,India,26,1932243,0.55,No,No
M00046,Merchant_46,Travel,Hyderabad,Canada,25,8805913,0.26,No,No
M00047,Merchant_47,Healthcare,Bengaluru,USA,30,354735,0.28,No,Yes
M00048,Merchant_48,Grocery,London,Canada,10,5762853,0.57,Yes,No
M00049,Merchant_49,Electronics,Mumbai,UK,26,307016,0.12,No,No
M00050,Merchant_50,Entertainment,Bengaluru,Germany,15,389686,0.44,No,Yes
M00051,Merchant_51,Electronics,Delhi,Canada,7,6955353,0.06,Yes,No
M00052,Merchant_52,Food,Hyderabad,UK,3,7489348,0.18,No,No
M00053,Merchant_53,Entertainment,Delhi,USA,8,3027545,0.15,Yes,Yes
M00054,Merchant_54,Retail,San Francisco,India,6,8601337,0.86,No,Yes
M00055,Merchant_55,Food,San Francisco,USA,2,4446217,0.98,Yes,No
M00056,Merchant_56,Food,San Francisco,India,20,4037559,0.35,Yes,No
M00057,Merchant_57,Retail,Hyderabad,India,8,3523255,0.33,No,No
M00058,Merchant_58,Retail,San Francisco,Germany,29,4849368,0.14,No,No
M00059,Merchant_59,Electronics,Delhi,UK,16,5033559,0.62,Yes,No
M00060,Merchant_60,Retail,Mumbai,USA,30,528411,0.11,Yes,No
M00061,Merchant_61,Food,San Francisco,Canada,26,9855724,0.71,Yes,No
M00062,Merchant_62,Entertainment,Hyderabad,India,22,2617835,0.38,Yes,Yes
M00063,Merchant_63,Grocery,Hyderabad,Canada,19,9297823,0.73,Yes,Yes
M00064,Merchant_64,Food,Delhi,Canada,17,7499044,0.32,Yes,No
M00065,Merchant_65,Grocery,Mumbai,USA,26,6172764,0.23,No,Yes
M00066,Merchant_66,Healthcare,Bengaluru,Germany,24,6977413,0.36,No,Yes
M00067,Merchant_67,Electronics,San Francisco,Germany,20,3964628,0.45,No,Yes
M00068,Merchant_68,Food,London,USA,30,9119698,0.24,No,Yes
M00069,Merchant_69,Food,Mumbai,UK,11,5365434,0.12,No,No
M00070,Merchant_70,Food,Bengaluru,Canada,16,3423637,0.9,No,Yes
M00071,Merchant_71,Grocery,Chennai,Germany,9,9404287,0.71,No,Yes
M00072,Merchant_72,Grocery,London,India,27,7338024,0.02,Yes,Yes
M00073,Merchant_73,Grocery,Hyderabad,Canada,30,6611474,0.9,No,Yes
M00074,Merchant_74,Travel,San Francisco,Canada,8,5022299,0.12,No,Yes
M00075,Merchant_75,Healthcare,Chennai,India,24,6055200,0.95,No,No
M00076,Merchant_76,Healthcare,London,Germany,10,8104511,0.7,Yes,Yes
M00077,Merchant_77,Grocery,Chennai,Canada,19,6305454,0.67,No,No
M00078,Merchant_78,Electronics,Delhi,USA,17,9966359,0.28,Yes,Yes
M00079,Merchant_79,Electronics,Delhi,UK,2,9564553,0.52,No,No
M00080,Merchant_80,Electronics,Delhi,UK,25,3093320,0.95,Yes,Yes
M00081,Merchant_81,Travel,Hyderabad,UK,19,5374209,0.1,No,Yes
M00082,Merchant_82,Retail,Mumbai,UK,16,7463801,0.22,Yes,No
M00083,Merchant_83,Electronics,Hyderabad,India,30,3986854,0.67,Yes,Yes
M00084,Merchant_84,Grocery,Hyderabad,Canada,25,2932873,0.03,Yes,Yes
M00085,Merchant_85,Retail,Delhi,India,12,3508139,0.28,No,No
M00086,Merchant_86,Food,Bengaluru,Germany,10,1939032,0.72,Yes,No
M00087,Merchant_87,Travel,Delhi,UK,3,2395425,0.99,Yes,No
M00088,Merchant_88,Entertainment,Chennai,USA,24,1347391,0.33,No,No
M00089,Merchant_89,Travel,San Francisco,Canada,22,1342998,0.71,No,Yes
M00090,Merchant_90,Travel,Chennai,Canada,11,3294359,0.84,Yes,Yes
M00091,Merchant_91,Grocery,Bengaluru,Canada,13,3794503,0.67,No,No
