transaction_id,customer_id,merchant_id,timestamp,amount,currency,payment_method,transaction_type,merchant_category,device_type,operating_system,browser,IP_country,geo_latitude,geo_longitude,distance_from_home,login_duration,transaction_hour,day_of_week,weekend,international,failed_login_attempts,previous_transactions_24h,average_spending_30d,spending_change,merchant_risk,customer_risk,fraud_probability,is_fraud
T00000001,C000829,M00013,2025-06-23 00:03:00,56576.8,INR,Debit Card,Refund,Healthcare,POS,iOS,Chrome,India,-18.719535,-110.998347,18.82,340,0,Monday,No,No,5,20,8184.07,132.05,0.14,High,0.0,0
T00000002,C000221,M00079,2025-07-24 10:42:00,77231.61,INR,Debit Card,Refund,Travel,Desktop,Android,Safari,Germany,27.883229,-162.246705,41.41,523,10,Thursday,No,Yes,2,0,39784.88,-34.8,0.3,Low,0.32,0
T00000003,C000225,M00113,2025-02-22 10:06:00,74777.62,INR,UPI,Transfer,Travel,Desktop,macOS,Chrome,UK,-31.266719,-81.876374,440.38,358,10,Saturday,Yes,Yes,4,4,44678.56,-70.59,0.89,Medium,0.13,0
T00000004,C000413,M00163,2025-07-14 15:48:00,70054.51,INR,Wallet,Purchase,Retail,POS,Windows,Edge,Germany,76.532187,126.923769,149.46,592,15,Monday,No,Yes,0,19,34698.26,83.44,0.82,Medium,0.33,0
T00000005,C000700,M00040,2025-10-25 15:44:00,80303.93,INR,UPI,Transfer,Retail,Mobile,Android,Safari,UK,40.077875,125.924938,324.5,227,15,Saturday,Yes,Yes,0,21,25107.81,-1.76,0.32,Low,0.25,0
T00000006,C000427,M00067,2025-03-07 01:20:00,21762.24,INR,UPI,Refund,Travel,POS,Windows,Safari,Germany,-89.545016,22.02432,388.38,27,1,Friday,No,No,2,2,33482.04,125.55,0.7,Low,0.15,0
T00000007,C000384,M00095,2026-03-19 02:42:00,6861.48,INR,UPI,Refund,Retail,Desktop,iOS,Safari,USA,30.993179,-25.400147,137.8,559,2,Thursday,No,Yes,4,24,33811.71,-23.76,0.78,Medium,0.18,0
T00000008,C000456,M00112,2026-04-28 18:07:00,35056.99,INR,UPI,Transfer,Retail,Desktop,Android,Safari,UK,-35.461372,40.592541,324.32,220,18,Tuesday,No,No,1,24,21879.51,28.27,0.49,Medium,0.11,0
T00000009,C000145,M00186,2025-10-26 22:28:00,277.26,INR,UPI,Transfer,Entertainment,Mobile,macOS,Firefox,USA,-36.27753,-139.480812,105.25,479,22,Sunday,Yes,No,0,1,33367.51,-54.75,0.95,High,0.07,0
T00000010,C000785,M00074,2025-07-03 16:34:00,61460.01,INR,UPI,Purchase,Healthcare,Mobile,Windows,Firefox,USA,-58.86922,159.33034,234.15,517,16,Thursday,No,No,3,8,5641.19,-1.2,0.65,High,0.34,0
T00000011,C000547,M00085,2026-04-07 13:51:00,87554.87,INR,UPI,Refund,Grocery,POS,Windows,Edge,USA,64.926615,13.106403,483.37,362,13,Tuesday,No,Yes,5,23,29312.61,142.63,0.34,High,0.04,0
T00000012,C000951,M00129,2026-03-12 07:23:00,9781.13,INR,Wallet,Refund,Retail,Mobile,Windows,Chrome,USA,-16.101968,-94.198982,370.83,314,7,Thursday,No,No,0,9,1403.02,-56.59,0.4,High,0.2,0
T00000013,C000748,M00127,2025-11-20 17:44:00,66947.4,INR,Wallet,Transfer,Entertainment,POS,iOS,Safari,India,10.074781,76.911996,285.95,47,17,Thursday,No,Yes,3,30,14528.36,84.19,0.4,Low,0.04,0
T00000014,C000398,M00026,2025-12-03 00:56:00,1939.31,INR,Wallet,Refund,Food,POS,Android,Chrome,India,-11.100701,-167.304279,191.61,591,0,Wednesday,No,No,4,1,24699.62,19.47,0.6,High,0.84,1
T00000015,C000926,M00181,2025-08-16 15:05:00,15618.02,INR,UPI,Transfer,Entertainment,Mobile,macOS,Firefox,Germany,31.834065,-52.941388,98.97,443,15,Saturday,Yes,No,1,11,44019.98,102.98,0.7,High,0.04,0
T00000016,C000132,M00035,2025-10-24 17:54:00,53402.51,INR,Debit Card,Refund,Entertainment,Mobile,iOS,Edge,UK,57.64911,91.181363,306.05,81,17,Friday,No,No,1,1,30378.25,129.48,0.31,Medium,0.02,0
T00000017,C000443,M00104,2026-04-08 13:50:00,85108.07,INR,Debit Card,Refund,Travel,POS,macOS,Firefox,India,81.124929,-83.509155,481.63,205,13,Wednesday,No,Yes,5,1,45751.56,74.92,0.23,Medium,0.25,0
T00000018,C000834,M00040,2026-04-03 22:39:00,38989.29,INR,Credit Card,Transfer,Grocery,Desktop,iOS,Firefox,USA,71.446817,-10.484801,295.65,275,22,Friday,No,Yes,1,28,25575.7,95.63,0.39,High,0.15,0
T00000019,C000132,M00051,2025-03-17 12:02:00,79678.42,INR,Debit Card,Purchase,Electronics,POS,iOS,Safari,USA,54.918722,-150.260986,54.1,505,12,Monday,No,Yes,2,25,31125.47,-9.59,0.98,Medium,0.05,0
T00000020,C000280,M00097,2025-11-25 18:37:00,91472.21,INR,Debit Card,Purchase,Electronics,POS,Windows,Safari,UK,76.416179,-140.624843,48.78,550,18,Tuesday,No,No,0,6,19411.3,23.53,0.51,Low,0.25,0
T00000021,C000846,M00166,2025-09-04 05:12:00,64350.39,INR,Credit Card,Transfer,Food,Mobile,macOS,Firefox,Canada,-35.836518,-144.101882,389.3,291,5,Thursday,No,No,0,8,19409.09,-49.05,0.03,Low,0.08,0
T00000022,C000249,M00083,2025-07-10 01:55:00,26703.63,INR,Credit Card,Purchase,Retail,Mobile,macOS,Edge,Canada,-52.729412,-39.899745,97.8,525,1,Thursday,No,No,3,29,14908.45,128.83,0.05,High,0.1,0
T00000023,C000495,M00112,2025-01-08 16:40:00,10849.65,INR,Debit Card,Refund,Travel,Mobile,Windows,Chrome,Germany,-14.207809,-6.199082,419.17,431,16,Wednesday,No,Yes,0,15,7790.45,-15.15,0.52,High,0.26,0
T00000024,C000106,M00129,2025-10-15 10:47:00,38999.2,INR,Debit Card,Purchase,Grocery,POS,iOS,Firefox,UK,27.781439,106.504298,128.35,444,10,Wednesday,No,No,2,3,29646.71,-60.84,0.04,High,0.26,0
T00000025,C000804,M00065,2025-06-17 23:37:00,79610.51,INR,Credit Card,Transfer,Healthcare,POS,macOS,Chrome,USA,-36.293796,-58.934492,331.0,122,23,Tuesday,No,No,5,1,6607.45,-64.1,0.86,High,0.01,0
T00000026,C000558,M00037,2026-02-22 21:04:00,57961.92,INR,Wallet,Purchase,Travel,Desktop,iOS,Chrome,UK,76.009224,-155.885507,124.48,412,21,Sunday,Yes,Yes,2,30,9007.68,103.05,0.14,Low,0.16,0
T00000027,C000026,M00141,2025-11-05 08:12:00,70786.82,INR,Wallet,Refund,Entertainment,Desktop,Android,Edge,Canada,-48.257097,98.17294,184.03,241,8,Wednesday,No,No,1,21,42040.21,66.92,0.0,Medium,0.37,0
T00000028,C000872,M00022,2025-11-23 16:27:00,48007.0,INR,UPI,Refund,Travel,POS,iOS,Safari,India,-85.320306,-121.347224,40.74,53,16,Sunday,Yes,Yes,1,29,27382.45,-36.44,0.57,Medium,0.32,0
T00000029,C000494,M00145,2026-01-09 17:17:00,57823.08,INR,Debit Card,Refund,Entertainment,POS,macOS,Chrome,Germany,77.210474,-150.679473,242.97,32,17,Friday,No,Yes,0,11,20834.87,23.94,0.06,High,0.23,0
T00000030,C000956,M00179,2025-08-09 23:25:00,38204.86,INR,UPI,Purchase,Travel,Desktop,iOS,Safari,USA,-46.967797,-41.333451,129.43,575,23,Saturday,Yes,No,3,14,23507.02,73.46,0.86,Low,0.1,0
T00000031,C000965,M00168,2025-10-10 08:50:00,84280.73,INR,Wallet,Transfer,Healthcare,POS,iOS,Chrome,Germany,46.854764,-163.941407,112.9,275,8,Friday,No,No,5,26,36266.84,23.77,0.91,Medium,0.12,0
